================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
pace_15K                  2050.0000                         4.1854                         3.7323                         3.9691                         4.1041                         4.2961                         5.6126   0.2911
pace_20K                  2050.0000                         4.2209                         3.7199                         3.9964                         4.1398                         4.3602                         5.6831   0.2961
pace_Media                2050.0000                         3.8262                         2.6237                         3.6295                         3.7619                         3.9548                         5.1682   0.2736
pace_25K                  2050.0000                         4.3032                         2.6302                         4.0933                         4.2202                         4.4275                         5.7887   0.2950
pace_30K                  2050.0000                         4.1430                         2.9127                         3.9387                         4.0620                         4.2651                         5.6633   0.2874
pace_35K                  2050.0000                         4.1048                         3.1430                         3.9124                         4.0182                         4.2518                         5.8454   0.2979
pace_40K                  2050.0000                         4.0080                         2.5608                         3.8180                         3.9408                         4.1672                         5.7257   0.3190
pace_Meta                 2050.0000                         4.0575                         2.3626                         3.8394                         4.0192                         4.2385                         5.6583   0.3388
inc_5K_10K                2050.0000                        -6.5218                      -836.6310                       -14.9975                        -5.1870                         2.8552                       157.3320  24.1722
inc_10K_15K               2050.0000                        10.5141                       -68.0420                         2.9067                         9.4925                        17.3873                       688.3010  20.3606
inc_15K_20K               2050.0000                        -9.9548                      -135.1580                       -16.5212                        -9.6070                        -2.8940                        97.8710  13.7738
inc_20K_Media             2050.0000                      -927.3277                     -1071.0210                      -975.0310                      -941.3675                      -892.9315                      -677.6780  59.9189
inc_Media_25K             2050.0000                       671.0087                       495.9930                       649.4880                       680.9690                       701.5940                      1283.1440  44.7015
inc_25K_30K               2050.0000                       278.5817                      -302.7810                       263.3128                       278.7390                       291.3415                       832.5090  34.8654
inc_30K_35K               2050.0000                        11.8128                      -481.5800                        -3.9523                         6.3950                        22.3800                       365.4000  37.9281
inc_35K_40K               2050.0000                        31.1016                      -282.2420                         6.6640                        22.7210                        42.9703                      1097.1120  54.7521
inc_40K_Meta              2050.0000                      -710.3922                     -1301.9990                      -743.1642                      -715.7250                      -674.9855                      -476.3330  60.9241
delta_pace_5K_pace_10K    2050.0000                         0.0238                        -0.5918                        -0.0103                         0.0184                         0.0522                         5.8886   0.1408
delta_pace_10K_pace_15K   2050.0000                        -0.0389                        -5.4380                        -0.0612                        -0.0337                        -0.0108                         0.2404   0.1287
delta_pace_15K_pace_20K   2050.0000                         0.0355                        -0.3310                         0.0098                         0.0341                         0.0590                         0.5041   0.0484
delta_pace_20K_pace_Media 2050.0000                        -0.3946                        -1.3423                        -0.4279                        -0.3911                        -0.3598                         0.7922   0.0740
delta_pace_Media_pace_25K 2050.0000                         0.4769                        -1.5780                         0.4459                         0.4767                         0.5087                         1.5752   0.0988
delta_pace_25K_pace_30K   2050.0000                        -0.1602                        -1.6116                        -0.1854                        -0.1458                        -0.1173                         1.4749   0.0982
delta_pace_30K_pace_35K   2050.0000                        -0.0382                        -1.0598                        -0.0747                        -0.0218                         0.0137                         2.1055   0.1232
delta_pace_35K_pace_40K   2050.0000                        -0.0968                        -3.2845                        -0.1394                        -0.0763                        -0.0219                         0.8237   0.1599
